epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5509.26,0.62028,0.99279,1.11381,0.59459,0.59578,0.48277,0.39105,0.62097,2.23398,1.16084,0.00380451,0.00126817,0.00380451,0.00126817,0.00380451,0.00126817,0.00380451,0.00126817
31,5694.23,0.61868,0.96822,1.12381,0.61547,0.55151,0.47911,0.39938,0.59743,2.22847,1.12035,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
32,5875.06,0.60347,0.94653,1.1133,0.61857,0.55172,0.47855,0.38801,0.59935,2.24268,1.1129,0.00372199,0.00124066,0.00372199,0.00124066,0.00372199,0.00124066,0.00372199,0.00124066
33,6054.18,0.5963,0.944,1.10873,0.68348,0.48276,0.4801,0.38985,0.59583,2.20149,1.10995,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
34,6232.5,0.58368,0.89643,1.09212,0.57552,0.54561,0.48617,0.40635,0.60296,2.20299,1.1192,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
35,6411.21,0.60068,0.91284,1.11206,0.68361,0.51149,0.49193,0.40919,0.60054,2.2217,1.11829,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941,0.00359822,0.00119941
36,6582.67,0.5781,0.86471,1.0919,0.63915,0.54612,0.50815,0.41739,0.60118,2.13823,1.13079,0.00355696,0.00118565,0.00355696,0.00118565,0.00355696,0.00118565,0.00355696,0.00118565
37,6763.94,0.58246,0.88226,1.08699,0.68876,0.56322,0.50796,0.41913,0.60976,2.15129,1.15215,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
38,6943.62,0.56879,0.83453,1.07755,0.70155,0.52874,0.50297,0.41542,0.61534,2.2336,1.14838,0.00347444,0.00115815,0.00347444,0.00115815,0.00347444,0.00115815,0.00347444,0.00115815
39,7121.69,0.57135,0.85228,1.0821,0.5298,0.51149,0.47295,0.3888,0.60816,2.25539,1.15344,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444,0.00343319,0.0011444
